timestamp,throughput,loss_rate,rtt
0,8.63,0.049,119.65
1,7.0,0.042,70.38
2,4.38,0.004,30.37
3,4.52,0.097,144.32
4,8.14,0.017,148.08
5,3.67,0.057,98.13
6,4.82,0.067,109.97
7,3.21,0.085,30.11
8,3.41,0.007,38.0
9,5.38,0.068,78.37
10,9.16,0.098,90.55
11,3.13,0.001,60.91
12,4.9,0.068,36.25
13,8.31,0.021,100.96
14,7.23,0.048,50.96
15,6.3,0.061,115.95
16,8.52,0.089,38.65
17,3.22,0.046,101.8
18,7.48,0.02,57.38
19,3.78,0.0,133.2
20,4.61,0.091,119.66
21,8.8,0.069,37.13
22,8.16,0.045,37.88
23,5.58,0.096,94.83
24,4.69,0.011,130.19
25,3.08,0.096,143.52
26,7.81,0.084,33.5
27,9.48,0.086,128.6
28,6.45,0.027,47.97
29,8.55,0.08,48.47
30,4.52,0.017,130.67
31,9.44,0.034,58.88
32,5.71,0.035,31.4
33,7.73,0.06,58.96
34,4.48,0.049,138.02
35,8.4,0.077,101.2
36,6.36,0.052,133.22
37,7.78,0.036,145.0
38,9.05,0.015,48.67
39,9.72,0.046,38.65
40,4.31,0.043,53.37
41,5.09,0.049,110.15
42,9.85,0.043,116.58
43,7.12,0.079,57.14
44,9.86,0.052,140.28
45,3.08,0.038,128.34
46,5.14,0.083,59.83
47,4.2,0.019,63.47
48,3.54,0.04,102.11
49,9.36,0.051,66.81
50,3.58,0.075,82.13
51,5.19,0.076,135.35
52,4.62,0.038,106.35
53,9.01,0.025,115.14
54,8.07,0.021,34.68
55,4.46,0.058,112.77
56,4.77,0.04,70.45
57,3.26,0.082,50.75
58,6.45,0.058,41.02
59,4.0,0.021,32.88
