timestamp,throughput,loss_rate,rtt
0,9.07,0.025,126.91
1,8.44,0.054,103.74
2,9.41,0.033,109.28
3,6.68,0.069,65.1
4,7.53,0.063,114.89
5,9.64,0.011,141.83
6,7.65,0.013,44.47
7,8.54,0.067,72.03
8,7.17,0.055,97.98
9,4.76,0.077,143.43
10,6.77,0.07,120.17
11,9.45,0.073,140.41
12,6.15,0.09,79.76
13,7.41,0.041,120.83
14,8.01,0.059,63.26
15,6.16,0.019,117.07
16,9.02,0.038,65.8
17,6.09,0.084,143.76
18,8.72,0.085,114.79
19,3.67,0.098,136.45
20,4.24,0.045,54.3
21,6.5,0.054,134.55
22,7.79,0.054,69.28
23,9.05,0.0,43.24
24,8.71,0.087,129.65
25,4.57,0.059,66.22
26,8.15,0.023,97.47
27,3.4,0.022,54.33
28,6.18,0.092,92.2
29,9.99,0.095,60.45
30,7.36,0.045,113.19
31,5.22,0.094,37.6
32,5.53,0.053,148.21
33,8.2,0.066,76.5
34,3.61,0.088,57.49
35,9.36,0.068,75.3
36,3.67,0.088,133.57
37,7.92,0.035,50.92
38,6.37,0.038,64.32
39,6.21,0.099,121.46
40,8.84,0.09,96.61
41,8.87,0.055,108.14
42,5.09,0.047,56.44
43,6.31,0.052,105.82
44,3.16,0.044,50.97
45,8.41,0.067,61.69
46,8.25,0.008,88.06
47,9.66,0.055,123.41
48,3.28,0.061,109.94
49,5.84,0.051,79.05
50,4.41,0.006,57.55
51,9.63,0.07,84.38
52,3.37,0.092,68.96
53,6.33,0.025,57.12
54,4.52,0.077,103.42
55,6.59,0.069,112.81
56,6.22,0.074,81.4
57,3.05,0.047,131.05
58,5.66,0.003,112.22
59,5.97,0.013,142.87
