timestamp,throughput,loss_rate,rtt
0,9.0,0.097,115.8
1,5.98,0.005,36.67
2,7.86,0.061,40.25
3,4.16,0.034,127.56
4,8.35,0.068,128.16
5,9.57,0.018,141.62
6,3.9,0.082,56.59
7,6.85,0.008,53.32
8,9.55,0.019,30.48
9,9.12,0.081,130.67
10,3.25,0.03,127.99
11,7.88,0.075,122.89
12,4.53,0.077,50.77
13,6.53,0.037,77.01
14,7.11,0.018,89.09
15,9.0,0.044,41.46
16,8.34,0.043,76.13
17,7.37,0.084,47.09
18,5.62,0.06,66.02
19,9.87,0.01,117.5
20,5.87,0.064,148.55
21,9.25,0.038,71.39
22,5.21,0.038,90.13
23,4.61,0.09,87.09
24,6.19,0.028,116.41
25,5.75,0.004,124.26
26,9.42,0.037,144.39
27,7.87,0.076,128.95
28,8.05,0.09,116.38
29,9.22,0.014,65.0
30,8.2,0.072,64.51
31,4.47,0.001,134.08
32,4.36,0.094,52.2
33,4.0,0.072,149.13
34,3.96,0.08,73.64
35,5.66,0.002,40.67
36,9.47,0.081,47.9
37,6.68,0.087,54.37
38,8.91,0.062,119.65
39,4.5,0.098,53.87
40,6.72,0.011,51.62
41,3.51,0.061,40.61
42,7.82,0.07,110.7
43,9.8,0.091,108.87
44,4.08,0.084,86.43
45,8.3,0.086,80.93
46,5.5,0.012,61.42
47,8.91,0.062,84.67
48,8.49,0.009,111.61
49,4.37,0.007,121.15
50,8.76,0.005,110.72
51,6.6,0.066,91.52
52,3.57,0.072,97.14
53,4.75,0.007,146.4
54,5.43,0.084,50.7
55,5.13,0.042,70.47
56,9.41,0.015,63.94
57,9.77,0.1,92.62
58,3.88,0.014,135.69
59,5.24,0.098,99.02
